,year,date,period,estimated_temp,ratio,year_date,date_decile
0,1678,0419,1600,5.4,109.0,1678-04-19,7.0
1,1679,0424,1600,5.37,114.0,1679-04-24,9.0
2,1680,0418,1600,5.24,109.0,1680-04-18,7.0
3,1681,0420,1600,5.22,110.0,1681-04-20,7.0
4,1682,0414,1600,5.19,104.0,1682-04-14,4.0
5,1683,0418,1600,5.29,108.0,1683-04-18,6.0
6,1684,0427,1600,5.41,118.0,1684-04-27,9.0
7,1685,0416,1600,5.3,106.0,1685-04-16,5.0
8,1686,0414,1600,5.21,104.0,1686-04-14,4.0
9,1687,0414,1600,5.21,104.0,1687-04-14,4.0
10,1688,0423,1600,5.29,114.0,1688-04-23,9.0
11,1689,0407,1600,5.22,97.0,1689-04-07,1.0
12,1690,0403,1600,5.28,93.0,1690-04-03,0.0
13,1691,0413,1600,5.24,103.0,1691-04-13,4.0
14,1692,0418,1600,5.17,109.0,1692-04-18,7.0
15,1693,0417,1600,5.1,107.0,1693-04-17,6.0
16,1694,0419,1600,5.13,109.0,1694-04-19,7.0
17,1695,0430,1600,5.17,120.0,1695-04-30,9.0
18,1696,0423,1600,5.16,114.0,1696-04-23,9.0
19,1697,0421,1600,5.16,111.0,1697-04-21,8.0
20,1698,0411,1600,5.19,101.0,1698-04-11,3.0
21,1699,0407,1600,5.19,97.0,1699-04-07,1.0
22,1700,0426,1700,5.27,116.0,1700-04-26,9.0
23,1701,0422,1700,5.24,112.0,1701-04-22,8.0
24,1702,0426,1700,5.33,116.0,1702-04-26,9.0
25,1703,0413,1700,5.37,103.0,1703-04-13,4.0
26,1704,0422,1700,5.49,113.0,1704-04-22,9.0
27,1705,0419,1700,5.32,109.0,1705-04-19,7.0
28,1706,0425,1700,5.32,115.0,1706-04-25,9.0
29,1707,0421,1700,5.35,111.0,1707-04-21,8.0
30,1708,0412,1700,5.39,103.0,1708-04-12,4.0
31,1709,0416,1700,5.47,106.0,1709-04-16,5.0
32,1713,0414,1700,5.6,104.0,1713-04-14,4.0
33,1714,0418,1700,5.55,108.0,1714-04-18,6.0
34,1715,0417,1700,5.47,107.0,1715-04-17,6.0
35,1716,0419,1700,5.58,110.0,1716-04-19,7.0
36,1717,0408,1700,5.61,98.0,1717-04-08,1.0
37,1718,0412,1700,5.7,102.0,1718-04-12,3.0
38,1719,0412,1700,5.7,102.0,1719-04-12,3.0
39,1720,0423,1700,5.82,114.0,1720-04-23,9.0
40,1721,0405,1700,5.86,95.0,1721-04-05,0.0
41,1722,0410,1700,6.08,100.0,1722-04-10,2.0
42,1723,0414,1700,6.19,104.0,1723-04-14,4.0
43,1724,0408,1700,6.12,99.0,1724-04-08,1.0
44,1725,0416,1700,6.06,106.0,1725-04-16,5.0
