year,ratio,date,period,estimated_temp,upper limit,lower limit,observed temperature,urban bias was subtracted (Hikone),urban bias was subtracted (Kameoka)
1946,97,407,1900,7.06,7.72,6.40,6.98,6.46,6.61
1947,107,417,1900,7.09,7.71,6.46,7.00,6.48,6.62
1948,102,411,1900,7.12,7.72,6.53,7.04,6.49,6.63
1949,107,417,1900,7.19,7.76,6.62,7.08,6.55,6.67
1950,99,409,1900,7.13,7.67,6.60,7.08,6.48,6.59
1951,98,408,1900,7.18,7.73,6.63,7.14,6.51,6.62
1952,105,414,1900,7.31,7.80,6.83,7.24,6.62,6.72
1953,101,411,1900,7.32,7.82,6.83,7.26,6.61,6.71
1954,98,408,1900,7.29,7.79,6.79,7.19,6.55,6.65
1955,97,407,1900,7.27,7.75,6.79,7.14,6.51,6.60
1956,99,408,1900,7.39,7.82,6.95,7.17,6.60,6.69
1957,103,413,1900,7.40,7.83,6.96,7.21,6.58,6.66
1958,99,409,1900,7.38,7.82,6.94,7.14,6.53,6.60
1959,92,402,1900,7.40,7.84,6.95,7.17,6.53,6.58
1960,95,404,1900,7.39,7.84,6.95,7.22,6.49,6.53
1961,99,409,1900,7.41,7.84,6.98,7.26,6.49,6.50
1962,102,412,1900,7.45,7.94,6.97,7.35,6.51,6.49
1963,101,411,1900,7.48,7.92,7.05,7.42,6.52,6.48
1964,99,408,1900,7.53,7.97,7.09,7.47,6.55,6.47
1965,110,420,1900,7.58,7.98,7.18,7.53,6.58,6.46
1966,97,407,1900,7.58,7.98,7.18,7.58,6.57,6.42
1967,97,407,1900,7.63,8.06,7.20,7.62,6.61,6.43
1968,99,408,1900,7.68,8.09,7.27,7.65,6.64,6.45
1969,101,411,1900,7.61,8.06,7.16,7.54,6.56,6.36
1970,107,417,1900,7.60,8.05,7.15,7.56,6.53,6.33
1971,98,408,1900,7.55,8.00,7.10,7.52,6.47,6.26
1972,99,408,1900,7.59,8.05,7.14,7.52,6.50,6.28
1973,97,407,1900,7.56,8.05,7.08,7.59,6.47,6.22
1974,99,409,1900,7.63,8.11,7.14,7.61,6.54,6.27
1975,100,410,1900,7.67,8.22,7.12,7.62,6.57,6.29
1976,99,408,1900,7.65,8.22,7.07,7.64,6.55,6.25
1977,93,403,1900,7.70,8.31,7.09,7.69,6.59,6.28
1978,104,414,1900,7.75,8.35,7.14,7.70,6.63,6.32
1979,97,407,1900,7.76,8.36,7.17,7.70,6.62,6.32
1980,102,411,1900,7.76,8.35,7.17,7.77,6.61,6.30
1981,99,409,1900,7.83,8.32,7.33,7.84,6.67,6.35
1982,93,403,1900,7.83,8.33,7.32,7.86,6.66,6.33
1983,99,409,1900,7.89,8.46,7.32,7.93,6.71,6.37
1984,109,418,1900,7.94,8.54,7.34,7.99,6.76,6.40
1985,99,409,1900,7.95,8.52,7.37,8.01,6.77,6.38
1986,102,412,1900,8.05,8.57,7.53,8.13,6.87,6.47
1987,95,405,1900,8.12,8.69,7.55,8.22,6.95,6.52
1988,106,415,1900,8.13,8.69,7.57,8.17,6.98,6.52
1989,93,403,1900,8.18,8.78,7.58,8.21,7.04,6.57
1991,97,407,1900,8.20,8.77,7.63,8.24,7.08,6.59
1992,94,403,1900,8.22,8.78,7.66,8.26,7.11,6.62
1993,97,407,1900,8.20,8.78,7.61,8.29,7.09,6.60
1994,99,409,1900,8.28,8.83,7.73,8.33,7.18,6.69
1995,99,409,1900,8.30,8.86,7.74,8.35,7.21,
