year,ratio,date,period,estimated temperature,upper limit,lower limit,observed temperature,urban bias was subtracted (Hikone),urban bias was subtracted (Kameoka)
801,,,800,,,,,,
802,,,800,,,,,,
803,,,800,,,,,,
804,,,800,,,,,,
805,,,800,,,,,,
806,,,800,,,,,,
807,,,800,,,,,,
808,,,800,,,,,,
809,,,800,,,,,,
810,,,800,,,,,,
811,,,800,,,,,,
812,92,401,800,,,,,,
813,,,800,,,,,,
814,,,800,,,,,,
815,105,415,800,,,,,,
816,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
817,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
818,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
819,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
820,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
821,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
822,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
823,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
824,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
825,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
826,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
827,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
828,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
829,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
830,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
831,96,406,800,,-50.00,-50.00,-50.00,-50.00,-50.00
832,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
833,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
834,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
835,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
836,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
837,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
838,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
839,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
840,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
841,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
842,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
843,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
844,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
845,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
846,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
847,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
848,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
849,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
850,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
851,108,418,800,,-50.00,-50.00,-50.00,-50.00,-50.00
852,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
853,104,414,800,,-50.00,-50.00,-50.00,-50.00,-50.00
854,,,800,5.87,10.99,0.75,-50.00,5.87,5.87
855,,,800,5.99,10.78,1.21,-50.00,5.99,5.99
856,,,800,6.12,10.60,1.64,-50.00,6.12,6.12
857,,,800,6.25,10.47,2.02,-50.00,6.25,6.25
858,,,800,6.37,10.39,2.35,-50.00,6.37,6.37
859,,,800,6.50,10.37,2.63,-50.00,6.50,6.50
860,,,800,6.62,10.42,2.83,-50.00,6.62,6.62
861,,,800,6.75,10.54,2.96,-50.00,6.75,6.75
862,,,800,6.88,10.73,3.03,-50.00,6.88,6.88
863,,,800,7.00,10.99,3.02,-50.00,7.00,7.00
864,100,409,800,7.13,11.31,2.95,-50.00,7.13,7.13
865,,,800,7.25,11.68,2.83,-50.00,7.25,7.25
866,106,416,800,7.38,12.10,2.66,-50.00,7.38,7.38
867,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
868,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
869,95,405,800,,-50.00,-50.00,-50.00,-50.00,-50.00
870,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
871,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
872,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
873,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
874,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
875,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
876,,,800,6.63,10.21,3.05,-50.00,6.63,6.63
877,,,800,6.51,9.40,3.62,-50.00,6.51,6.51
878,,,800,6.44,9.31,3.56,-50.00,6.44,6.44
879,,,800,6.42,8.69,4.14,-50.00,6.42,6.42
880,,,800,6.44,8.54,4.34,-50.00,6.44,6.44
881,,,800,6.44,8.11,4.77,-50.00,6.44,6.44
882,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
883,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
884,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
885,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
886,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
887,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
888,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
889,104,414,800,,-50.00,-50.00,-50.00,-50.00,-50.00
890,,,800,,-50.00,-50.00,-50.00,-50.00,-50.00
891,109,419,800,5.60,7.05,4.15,-50.00,5.60,5.60
892,108,417,800,5.71,7.00,4.42,-50.00,5.71,5.71
893,,,800,5.82,7.63,4.01,-50.00,5.82,5.82
894,106,416,800,5.95,7.66,4.24,-50.00,5.95,5.95
895,104,414,800,6.08,7.73,4.44,-50.00,6.08,6.08
896,104,413,800,6.22,7.84,4.59,-50.00,6.22,6.22
897,,,800,6.40,8.45,4.36,-50.00,6.40,6.40
898,,,800,6.23,7.57,4.89,-50.00,6.23,6.23
899,,,800,6.30,7.62,4.97,-50.00,6.30,6.30
900,,,900,6.36,7.70,5.03,-50.00,6.36,6.36
901,,,900,6.43,7.79,5.08,-50.00,6.43,6.43
